file,Start_Frame,End_Frame,Label,rms_1,rms_2,rms_3,rms_4,rms_5,rms_6,rms_7,rms_8
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,14402,16884,N,12.00381171564241,12.467434497466124,8.73497263227328,8.183245064442175,14.173192453833906,13.655122512559089,4.616484042893394,4.684027469936759
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,16887,17898,LT,20.114291965062378,25.39380035131819,16.36377832213272,14.184231440989729,21.312355851717964,20.57308699850309,14.954915790244256,17.194759479576827
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,17901,19367,PT,76.87195938506264,97.16210004066822,49.89819006963913,35.340562258900064,53.62197086037247,54.954744812180095,53.76378421083411,54.59831857090307
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,19370,23441,N,39.14361725810767,41.42124606255669,20.98959486661075,13.387317816180152,22.451416236536488,22.427816581977087,13.537231048353897,13.322215804824964
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,23443,24431,LT,102.79715751777762,131.45858787832154,44.978850636349094,35.75249764891152,58.84133572547088,60.044810468423066,64.41482822006321,67.72964273668329
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,24433,25698,PT,76.03549842953207,91.08235113790339,39.174479291222845,23.033896898617083,38.85577489454375,40.10414407241423,35.93407979561571,36.93950869247902
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,25701,30721,N,40.50200348566466,42.4588781923652,20.450578854002575,12.571908601462868,20.73523262329537,20.40912014380953,15.371507293623054,14.282848795023813
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,30724,31644,LT,97.92419343009777,124.57938334237701,54.029325754994865,45.73807771260784,64.4768908177367,66.6610971781993,79.28106016711638,69.14095268406409
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,31647,32851,PT,67.80925314258896,77.98928523467869,35.48680727940702,24.52745979404962,36.71798280335352,37.37854618921801,31.752496796558685,31.068272124915417
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,32854,37017,N,41.8998157423602,42.27904944174814,21.76231104627235,13.329492776832232,23.660822905496644,23.00454655619141,18.627288878768088,18.397183291840857
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,37019,37883,LT,171.52423236472768,110.61035885147905,50.82179302688697,44.99125316200325,69.97516828658654,70.09511631268086,70.05411459077516,66.83653487024515
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,37885,39297,PT,78.23925183434703,62.30020816966675,28.87351126112728,17.275245075437592,26.199046466070673,26.327582976810277,18.168389228394425,16.68186463875242
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,39300,43194,N,46.60733597461288,51.872284233969275,24.46257372794976,16.619092810417193,28.475140030547085,27.741665906815722,27.836115936229366,24.18613620494312
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,43197,44089,LT,72.38809719296894,97.87861958592127,38.06365868036388,29.148066288945444,43.20609411908374,44.27798352758161,35.16346754836686,35.268596046411226
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,44092,45533,PT,43.49106396811602,46.92060338812864,20.20709485896485,11.918693494216202,20.858678217472388,20.65865326534492,14.93403763883313,12.995518901132765
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,45536,48737,N,37.22940677774895,39.49720699752365,16.823317370929868,10.743498434799895,18.238623183163707,18.184640160643255,11.039843121257567,10.294106805781427
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,16567,18543,N,14.222773315486391,15.108577686751056,10.402744330798813,9.979033622702673,17.122791647921936,15.668592140176107,9.286984405976032,8.45071775792468
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,18547,19349,LT,59.82265968578615,65.46622071219606,47.139575284852505,39.96438930795099,50.704211962113874,50.51957098377275,58.439112714106386,48.937874266775744
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,19352,20286,PT,75.36364498569175,80.04745718194573,51.446361860149246,41.40083520560686,53.772818797032436,58.29523627866122,62.984773895357364,58.00584779106302
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,20289,24694,N,37.4576234535455,40.52292356028744,24.403120787059454,15.911852012753812,26.03545560702421,26.42552558929396,14.126881649961,13.449804069347653
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,24697,25458,LT,22.76753935296885,24.849104068426595,15.19313513983836,10.692258856978267,18.005936406129255,17.46331101691118,12.711191578734097,11.152549729051067
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,25461,26882,PT,80.2078789944275,83.12408643911857,55.92784122336068,47.21414718551817,52.040306032942325,53.225648254807325,64.6789936540353,59.224156533165996
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,26885,30795,N,32.0228025681476,30.428505067484455,18.36282909572903,12.472176184984313,21.11187730747017,21.069833155099026,15.43049281637525,15.213115212855378
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,30798,31502,LT,24.017565580494573,24.29198621588568,15.373365636795487,10.214162066236815,19.608008758681052,19.229141870970196,16.962207794644428,14.540111828089808
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,31505,32781,PT,68.4574486858767,71.17607761872328,54.790616139054514,43.051325680278275,60.33457414984178,60.97489679738999,64.11000041142012,59.49208428207918
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,32784,36930,N,29.733908882581446,27.12328669723054,17.626533691945173,12.201547461685195,23.880072961007272,24.32894917358335,21.107702662652198,23.076436541220755
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,36933,37608,LT,53.909643918759684,60.49052768674627,48.89146162811693,48.773897237108066,57.03029939333373,56.81439293912798,61.24375610467596,52.591382627405096
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,37612,38568,PT,71.97875052402709,70.20588504093557,45.12963437681497,33.95259996173627,51.06687481229238,53.30623822827582,49.611265192928705,51.54321377122444
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,38571,42964,N,35.304591761597386,31.060115929713014,20.396954342217345,13.858992169105987,23.844756248880895,23.76689184808686,18.985108930058384,18.838853555836074
